cashtag,sentiment score,text,source,spans,id
"$QQQ","0.383","@ukarlewitz if one is to go long, money rotating into large cap tech $QQQ $FB $PCLN","twitter","if one is to go long, money rotating into large cap tech","710158462253142000"
"$GOOGL","-0.197","$GOOG $GOOGL Google Seeing Competition In Gigabit Internet https://t.co/L8UdLmv5NT via @sharethis","twitter","Seeing Competition","719616495962067000"
"$C","-0.093","As Alcoa Kicks Off March Quarter Earnings, We See More Reasons To Be Cautious https://t.co/QIPEseBq6s $FB $AA $AAPL $BAC $BKE $BLK $C $CAT","twitter","We See More Reasons To Be Cautious","719533378698100700"
"$ACAD","0.453","$ACAD - up another .03 in AH.  If it holds in PM, it has a long way to go to find resistence.","stocktwits","up another .03 in AH;$;it has a long way to go to find resistence","8499556"
"$QJPN","0.456","3 Top Japan ETFs To Surge Higher In 2H $DFJ $ITF  $QJPN http://stks.co/h2fJv","stocktwits","3 Top Japan ETFs To Surge Higher In 2H","38895736"
"$WSM","0.421","Unusual Call Activity https://t.co/WXu7JvqwBj $XLI $NXPI $WY $AMD $RF $MJN $WSM $AKS $GWPH $DG $MGM $SWKS $AAPL $ASHR $HTZ $ORCL $DDD $LVS","twitter","Unusual Call Activity","709777793798656000"
"$AAPL","0.061","How Ron Johnson tried, and failed, to inject a bit of Apple culture into JC Penney http://stks.co/q8R6 via TUAW $JCP $AAPL","stocktwits","Ron Johnson tried, and failed, to inject a bit of Apple culture into JC Penney","13024560"
"$COST","0.463","Costco: A Premier Retail Dividend Play https://t.co/J3UhTs022M $COST","twitter","A Premier Retail Dividend Play","719506353421709300"
"$BB.CA","0.243","BlackBerry Messenger is second only to Facebook in user loyalty, says new study: http://stks.co/b21mi $BBRY $BB.ca $FB","stocktwits","BlackBerry Messenger is second only to Facebook in user loyalty","35257107"
"$ARNA","-0.343","Ive got 2k shares of $arna for 6.51 up for sale!","stocktwits","up for sale!","8260657"
"$ADBE","-0.285","$ADBE nice fade from the bell, missed this one","twitter","nice fade from the bell","710827150266355700"
"$ASMB","-0.385","End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com","stocktwits","Stochastic Overbought","39047349"
"$WFM","-0.224","Whole foods $WFM may feel price competition but $TFM will have a way to go price wise to compete with Kroger. $KR https://t.co/XBxJVG94mx","twitter","$WFM may feel price competition","709765994416365600"
"$TSLA","-0.485","78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ","twitter","users on Vetr are bearish;$;indicating a SELL Rating","719534447771697200"
"$AAPL","0.269","$AAPL up 1%. Curated reasons here https://t.co/aqOcZ0ckG5","twitter","up 1%","709743356428025900"
"$CHMT","0.627","8 breakouts: $CHMT (stop: $17.99), $FLO (200-day MA), $OMX (gap), $SIRO (gap). One sub-$1 stock. Modest selection on attempted swing low.","stocktwits","breakouts","10602596"
"$TSLA","-0.235","$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX","twitter","RECALL","719571428060766200"
"$ALR","-0.385","End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com","stocktwits","Stochastic Overbought","39047349"
"$AAPL","-0.603","Commented on Apple In Need Of Innovation: Sell Rating https://t.co/9xOmUCSfIT $AAPL $AMZN $GOOG $GOOGL $MSFT","twitter","Sell Rating;$;In Need Of Innovation","719796218071621600"
"$BAC","0.445","You wanted a buying opportunity in $bac well here it comes http://stks.co/iGno front page #cnbc","stocktwits","buying opportunity","10920221"
"$TSLA","0.338","https://t.co/kboneorIli @TheGoldRush Colin loved $SUNE at $9 today it trades at $1.90, he will like $TSLA to the end https://t.co/mv2xjm1whO","twitter","will like $TSLA to the end","710142505493405700"
"$SPLS","0.199","$GOOG Google Will Soon Start Selling Chromebooks At Walmart And Staples, Other Retailers Coming Soon http://stks.co/rGzJ $SPLS $WMT","stocktwits","Google Will Soon Start Selling Chromebooks At Walmart And Staples","14140852"
"$AAPL","-0.322","RT @japanesegunto $AAPL lauching 4S in alien space..lol...in Jan 2200 (analysts have the martian orders way too high theyll never hit it!)","stocktwits","analysts have the martian orders way too high theyll never hit it!","6267912"
"$JD","0.298","Spent time at massive new $JD headquarters in Beijing yesterday. Not much slowdown to be detected there","twitter","massive new $JD headquarters;$;Not much slowdown to be detected","709973585226571800"
"$SPY","0.341","$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open","stocktwits","Nice little cup-and-handle shaping up;$;favours a good day for the index","5721348"
"$CHKP","0.365","Pie In The Sky? https://t.co/BOTmT7TZyj $AAPL $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $GOOGL $HPE $HPQ $IBM","twitter","Pie In The Sky","719849703106551800"
"$DNKN","0.485","$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN","stocktwits","Inside week buy triggers","25571322"
"$FAST","0.433","11 industrial-goods stocks insiders are bullish on http://stks.co/ep7 $cat $ba $hon $emr $itw $wm $noc $etn $ph $rsg $fast","stocktwits","stocks insiders are bullish on","5441240"
"$VVUS","0.282","$AMRN like your optimism .$VVUS moving up again ( no NCE ) . Agenda may be simple .....$GSK claim of active moiety .","stocktwits","moving up again","9982140"
"$TWTR","-0.307","@AnthonyMaceroni well, technically recessions follow consecutive Qs of earnings declines 81% of the time. $SPY $SPX $AAPL $FB $GOOG $TWTR $V","twitter","recessions;$;declines","708406053973659600"
"$GOOG","-0.066","Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST","twitter","Google dividend - 0%","719693593066258400"
"$MVIS","-0.691","$MVIS gets NASDAQ Delisting Notice -- How worrisome should this be?  Maybe $MVIS board will quit diluting the shares???","stocktwits","gets NASDAQ Delisting Notice;$;board will quit diluting the shares","5614354"
"$STX","0.274","Quality Stocks With High Cash Returns: http://stks.co/b1eOk $DTV $STX $SFUN $PPC $ELN","stocktwits","Quality Stocks With High Cash Returns","32427089"
"$IRE","0.155","Is It Finally the Right Time to Invest in National Bank of Greece? ($IRE, $NBG, $NBG-A): http://stks.co/sTIh via @themotleyfool","stocktwits","Is It Finally the Right Time to Invest in National Bank of Greece?;$;$IRE","15946770"
"$TSLA","0.385","Wall Street Tours the Tesla Factory—and Loves What It Sees - Bloomberg Business $TSLA https://t.co/ocNS3TBJVi","twitter","Loves What It Sees","709431643363213300"
"$YHOO","-0.043","$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?","twitter","bounce & retreats;$;Not short by any means","719535209423593500"
"$SPY","0.448","$SPY  still wants higher I think.","stocktwits","still wants higher I think.","14655289"
"$PCLN","0.000","$PCLN Crazy market up down up down up down.","stocktwits","Crazy market up down up down up down","28061995"
"$LOCO","0.485","$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN","stocktwits","Inside week buy triggers","25571322"
"$NIHD","-0.447","$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30","stocktwits","insiders got this one wrong;$;Looking for bottom;$;Rsi under 30","7040295"
"$IBB","0.381","@upsidetrader: ""@howardlindzon: good comeback to yellen on biotechs http://stks.co/s0YGF $BIS $IBB","stocktwits","good comeback","24815315"
"$SH","0.321","Watch for $ULTA to trade below $189.52 again to print a daily reversal candle. $SH has got potential.  $FIT and $SUNE have not changed.","twitter","$SH has got potential","709411365299982300"
"$SBUX","-0.437","$SBUX heading for the 200DMA and certain doom if it can not hold there.","twitter","eading for the 200DMA and certain doom","719891971360165900"
"$AXP","0.666","Oil To Break Out: Adding Chevron https://t.co/IrZkAVxjiE $AXP $CLGRF $CSCO $ERX $IBM $MCD $SSRI $VLO $WMT $XOM $CVX","twitter","Oil To Break Out;$;Adding Chevron","710211237058093000"
"$TSLA","-0.173","stopped out $TSLA 231.53 (3.86 loss)","stocktwits","stopped out","21024991"
"$HAL","0.438","$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6","stocktwits","Potential continuation Uptrend","32349177"
"$NBG","-0.517","$NBG keep an eye on the PM 0.80 low. NBG spikes its lows. so if it revisits 0.80, lower it will go...will c next few days & wknd","stocktwits","spikes its lows;$;lower it will go","39048817"
"$AMBA","-0.649","Weird day $GPRO up $amba down","stocktwits","$amba down","34122674"
"$AAPL","0.622","$AAPL so many names talking about how Apple is so cheap, its a must buy, $150+ stock price soon...HMMMMM","twitter","its a must buy","719615643918577700"
"$ADBE","-0.485","My $ORCL comes back. :-) I had three earning yesterday.  $ADBE shorted, there was only 1% short float. and $PSUN long. Very nice profit.:-)","stocktwits","$ADBE shorted, there was only 1% short float","21174505"
"$AAPL","0.324","$AAPL me gusta","stocktwits","me gusta","25032300"
"$ISRG","0.660","Rally Friday! #new52weekhighs big and small $T $JNJ $PM $WM $SYY $CPB $TWC $ISRG $ULTK and $FCTY - up over 31%. Have a fine weekend!","twitter","Rally Friday!;$;#new52weekhighs;$;p over 31%","708399906990329900"
"$TSLA","-0.257","$TSLA in the news - not good !   $TSLA https://t.co/QiV8We1tet","twitter","$TSLA in the news - not good","719572285170933800"
"$BITA","0.420","$VIPS delivering the goods again let's see if that can spill over in other chinese internet names, $BITA started to wake up last week. $BABA","stocktwits","delivering the goods again let's see if that can spill over in other chinese internet names","32753195"
"$NFLX","-0.329","These companies shld be worried about iCloud $goog $sfly $nflx $emc $vmw $yhoo $msft","stocktwits","companies shld be worried about iCloud","5806487"
"$GOOG","0.405","Published $GOOG estimate on Estimize: +0.03 EPS and +29.98M Revs compared to Wall Street's consensus. http://stks.co/r8pL","stocktwits","","13088382"
"$DAL","0.031","$GEVO PASSED! Gevo’s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight https://t.co/5kPmFgdw1N $SPY $QQQ $ALK $AAL $DAL $UAL","twitter","GevoÃ¢â‚¬â„¢s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight","719864087132442600"
"$FB","0.476","$FB gone green on day","twitter","$FB gone green on day","709758795648409600"
"$INCY","0.438","Trades GTIM +400 $POZN +30 REDF +0 $CALX +40 $INCY +100 $YOKU 0 $UIS +110 total +680","stocktwits","$INCY +100","7737263"
"$UWTI","-0.241","$USO $UWTI $XLE $SPY $SPX $NUGT $AAPL  Iraq Boosts Oil Production to Record Before Talks to Cap Output https://t.co/764YCYOh8l via @business","twitter","Iraq Boosts Oil Production to Record","719493174167625700"
"$F","0.356","$F expects earnings to maintain healthy growth in the year ahead. The company’s share price gained 0.16%.http://j.mp/1gqesMO","stocktwits","expects earnings to maintain healthy growth in the year ahead;$;The companyÃ¢â‚¬â„¢s share price gained","19500150"
"$AAPL","-0.325","$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV","stocktwits","Sees Downside to $425","10413981"
"$CTXS","0.529","Citrix Systems Inc $CTXS Position Increased by Mizuho… https://t.co/v7Lkq08Flp @ShareStockNews","twitter","Citrix Systems Inc $CTXS Position Increased by Mizuho","719467784007192600"
"$FB","0.492","$FB Nice buyable intraday dip right here","stocktwits","Nice buyable intraday dip right here","9999828"
"$SPY","0.034","$GEVO PASSED! Gevo’s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight https://t.co/5kPmFgdw1N $SPY $QQQ $ALK $AAL $DAL $UAL","twitter","GevoÃ¢â‚¬â„¢s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight","719864087132442600"
"$MSFT","-0.392","Nomura ests that Xbox platform will lose at least $1B for $MSFT in 2014 & may not be profitable for another year or so after that - $SNE","stocktwits","will lose at least $1B;$;may not be profitable for another year or so after that","17610673"
"$GMCR","-0.319","RT @dermus $GMCR waterfall ahead?","stocktwits","waterfall ahead?","5554666"
"$VXX","0.332","Unusual Call Activity https://t.co/Cg7Yk4msrI $VXX $CLF $EEM $HYG $C $INTC $XOP $AA $VRX $GS $SBUX $JPM $MGM $USO $QQQ $BAC $CMG $CSCO $GOOG","twitter","Unusual Call Activity","710863854381563900"
"$DIS","0.529","$AAPL $FB $AMZN $PG $MCD $GS $C $GE $UTX $SLB $XOM $GOOGL $AGN $WMT $QQQ $IWM $GILD $HON $JPM $DIS Nice day rally! https://t.co/Usct2NeWZh","twitter","Nice day rally!","719535506980266000"
"$BBRY","-0.537","@JohnChen #BlackBerry $GS $MS #Faucette & #Simona, JMHO are playing ignorant, so the $BBRY smack down looks legitimate","stocktwits","$BBRY smack down looks legitimate;$;$GS $MS;$;are playing ignorant","38563467"
"$GD","0.468","Buffett's 13F Shows New Stakes in CVS $CVS, Visa $V, General Dynamics $GD","stocktwits","13F Shows New Stakes in","5795737"
"$AAPL","0.295","@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad","stocktwits","$AAPL;$;had a big GROWING success for years","14756968"
"$CSCO","0.428","still have positive market bias -- Sharp Rally In Low-Quality Stocks Points To Ongoing Market Gains https://t.co/oLZmvYPs7G $SPX $QQQ $CSCO","twitter","still have positive market bias;$;Sharp Rally In Low-Quality Stocks Points To Ongoing Market Gains","708416296665399300"
"$FRS","0.376","#AMEX Movers +NHs $FRS #Restaurants 24.75+9% NH w #BigBoy div, $TPLM Triangle #Petroleum 9.80+3% 2M Expanding Caliber http://stks.co/ejOe","stocktwits","$FRS #Restaurants 24.75+9%","15928669"
"$CSCO","-0.253","$JNPR cuts outlook down 6%.  Could see $CSCO $INTC fall in sympathy","twitter","cuts outlook down","719661137411747800"
"$FB","-0.511","$FB & $TSLA cracking lower early. $short #correction #stocks","twitter","cracking lower early;$;$short;$;#correction","719519136318169100"
"$V","0.635","Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX","stocktwits","Current holdings via options;$;Long:","17785769"
"$STX","0.440","Biggest gainers today large caps: $BAP 10.17% $VALE 8.93% $MT 7.71% $ABX 7.44% $NEM 6.91% $STX 5.27% $BBD 5.17% $WMB 5.05% $FCX 4.61%","twitter","Biggest gainers today large caps","719720776027353100"
"$CTXS","0.490","ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ","twitter","New MACD signal created on","710532117164232700"
"$AAPL","-0.373","@Pieman as much as I would like $BBRY to capture back market share $AAPL cleary surpassed their BB for all too long of a time.Aka Android","stocktwits","$AAPL cleary surpassed their BB","12799689"
"$AAPL","-0.070","$AAPL broke descending channel....will it hold?","stocktwits","broke descending channel","8123917"
"$GOOG","0.363","After Go victories, Alphabet looks to give DeepMind more complex challenges $GOOG $GOOGL https://t.co/p1xPgypRzT","twitter","more complex challenges","709362616578154500"
"$SPY","0.271","Markets Back in Black for 2016 $TNA $SPY $SDS $UCO $USO $AAPL #Oil #OptionStrategies -- https://t.co/gKzwiMrMpJ https://t.co/W95ruG0iVQ","twitter","Markets Back in Black for 2016","710822084579086300"
"$SID","-0.438","2⃣0⃣Biggest Market Losers $VRX $CSTM $ZYNE $ENDP $ARLZ $PTX $BLCM $NVIV $SGY $LABU $WBAI $SID $CJES $MNK $ASPS $HZNP https://t.co/ekwqzpzxmJ","twitter","Biggest Market Losers","709834259687710700"
"$NOK","0.404","@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment","stocktwits","Nice pop today;$;Told ya we would be green","12790708"
"$SBUX","-0.611","Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa","twitter","Deutsche Bank Downgraded Starbucks Co","719873426136150000"
"$AMS","0.208","$AMZN has 22% of online grocery market. $WMT, 13%. $AMS (Ahold) has 5% (Kroger/Stop&Shop). @FreshDirect, 2%. @sbanjo https://t.co/1dYNvaCNQX","twitter","$AMS (Ahold) has 5%","719609967565803500"
"$KORS","0.113","$KORS Any1 somehow spinning ER, which was stellar, into something negative is some1 who got caught short on it. Should rise again 2morrow.","stocktwits","Should rise again 2morrow","8308437"
"$KGC","0.425","Okay i'm looking to add a gold miner and possibly lower pe tech name into close/ tmrw. Watching $nem $hl $kgc $csco $ibm $hpq.","stocktwits","looking to add a gold miner and possibly lower pe tech name into close","24504842"
"$ZIOP","-0.405","@dolleyman No worries, I always said there`d be sucker rallies on $ZIOP 's down trend, congrats.","stocktwits","sucker rallies;$;down trend","37340646"
"$YHOO","0.445","#Yahoo finally takes our ""Harvest Strategy"" advice: $YHOO shares climb. https://t.co/6Suhmp6nR9 https://t.co/4dU0kUyhYH via @moneymorning","twitter","shares climb","719620962094870500"
"$EZPW","0.384","RT @harmongreg $EZPW http://stks.co/2mOo over 31.85 looks good for a few","stocktwits","looks good for a few","7177668"
"$AAPL","0.128","$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN","stocktwits","at pivot area on intraday chart","12732850"
"$AMZN","0.380","7/ That's how aggressively Bezos diversifies risk. And exactly why $AMZN is ""the best place in the world to fail"": https://t.co/FyQQeeOZT9","twitter","diversifies risk;$;best place in the world","719811329922625500"
"$TSLA","0.424","@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding.","twitter","I think this $TSLA bubble might go on for some time","711712771675652100"
"$YHOO","0.198","Daily Mail parent in talks with private equity for Yahoo bid #Yahoo $YHOO https://t.co/zTSZ96UnGo via @Reuters","twitter","private equity for Yahoo bid","719634617465081900"
"$WMT","0.666","Oil To Break Out: Adding Chevron https://t.co/IrZkAVxjiE $AXP $CLGRF $CSCO $ERX $IBM $MCD $SSRI $VLO $WMT $XOM $CVX","twitter","Oil To Break Out;$;Adding Chevron","710211237058093000"
"$AAL","0.353","#FTSE100 ends with gains as Anglo American jumps 9% $AAL $RIO #IronOre #Commodities #GlobalNews #Shares https://t.co/TEiHzyJKrn","twitter","s Anglo American jumps 9%","719937548668256300"
"$BRCM","0.367","$brcm raises revenue forecast","stocktwits","raises revenue forecast","18038613"
"$SPY","0.414","$ES_F market has a lot of faith in the ECB $SPY","stocktwits","market has a lot of faith in the ECB","9393661"
"$MSFT","0.226","China Will Overtake US As Largest Online Gaming Market Says Report http://stks.co/a1TZL $MSFT $SNE $NQ $DSKY $CMGE","stocktwits","Largest Online Gaming Market","31143613"
"$JNPR","-0.421","$JNPR cuts outlook down 6%.  Could see $CSCO $INTC fall in sympathy","twitter","cuts outlook down","719661137411747800"
"$QCOR","-0.169","$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of","stocktwits","a little pullback","8746240"
"$SSO","0.162","$SPY http://stks.co/knB Possible target at around 127.4 (Neckline, SMA200, Fork congestion). $SPX $SSO $SDS $SH","stocktwits","Possible target","5512185"
"$HPJ","0.343","$HPJ short sighted sellers will be sorry soon","stocktwits","short sighted sellers will be sorry soon","30741682"
"$LPTH","0.354","$VICL $LPTH hot","stocktwits","$LPTH hot","38028268"
"$BMRN","0.357","Good news for @BioMarin #BMRN $BMRN likely to strongly benefit from #genetherapy for #HemophiliaA  https://t.co/ozwNgVXyq1","twitter","likely to strongly benefit from #genetherapy","709483088603119600"
"$HGSI","0.281","RT @Montisumo Down day for all biotechs Good to load up Be confident. $ONTY $CHTP $AIS $HGSI $DNDN >> Agreed $IBB $XBI all same downness","stocktwits","Good to load up Be confident","6783339"
"$PVA","0.417","$PVA congrats to whoever bought under 4- for those who sold under 4 i'm sorry...","stocktwits","congrats to whoever bought under","38793629"
"$FB","0.643","$FB has 20 times the advertisers of $TWTR. Why? @jack @support suspends advertisers with no explanation or #custserv https://t.co/quEvnu8RCw","twitter","$FB has 20 times the advertisers of $TWTR","719486879842902000"
"$YHOO","-0.209","Why @Vonage $vg @8x8 $eght @RingCentral $rng Plunged ! https://t.co/HPLXGmQ36f #Stocks weak outlook for $YHOO $SMSI $NFLX via @themotleyfool","twitter","weak outlook","719644552047362000"
"$EWJ","-0.059","Tensions grow between China and Japan over islands http://stks.co/g9cY from @MktplaceRadio  $EWJ $EWH","stocktwits","Tensions grow between China and Japan","9182739"
"$CSCO","0.425","Okay i'm looking to add a gold miner and possibly lower pe tech name into close/ tmrw. Watching $nem $hl $kgc $csco $ibm $hpq.","stocktwits","looking to add a gold miner and possibly lower pe tech name into close","24504842"
"$PBMD","0.376","$PBMD Double response rate- investment validates company- http://stks.co/h2ZW4","stocktwits","investment validates company","38240250"
"$FB","-0.285","$FB 21% decline in original posts https://t.co/6Sna2CzQH4","twitter","","719525463878557700"
"$W","-0.528","@scottrade Why is $tsla not available for shorting at this time?  Same for $w?","twitter","Why is $tsla not available for shorting at this time? Same for $w?","719556016749330400"
"$DTV","0.274","Quality Stocks With High Cash Returns: http://stks.co/b1eOk $DTV $STX $SFUN $PPC $ELN","stocktwits","Quality Stocks With High Cash Returns","32427089"
"$HLF","-0.587","$HLF Broken Stock Another 35% downside possibility . I will initiate a new short position if price recovers from its cur http://stks.co/aH0l","stocktwits","Broken Stock;$;downside possibility;$;I will initiate a new short position","11149717"
"$AAPL","-0.200","$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.","stocktwits","finally breaking under the 49 M.A;$;no buybacks this week","35559365"
"$EROS","0.596","@OpenOutcrier @OMillionaires @canuck2usa $EROS gets clean bill of health after audit. $NFLX of India... https://t.co/fgYM2pZcpZ","twitter","$EROS gets clean bill of health after audit.","711910931937112000"
"$GILD","0.361","With $14B in cash, #Gilead $GILD shopping spree may continue! Hep C drugs #Harvoni & #Sovaldi made $20B in 2015! https://t.co/MVDE8tyRWE","twitter","shopping spree may continue!","719923191058210800"
"$HZNP","-0.349","@CGrantWSJ You highlight the REAL risk to the $VRX/spec pharma businesses. Payers who won't pay anymore! $ENDP $HZNP $MNK","twitter","who won't pay anymore;$;REAL risk","710187873492983800"
"$CTRP","0.397","I already have $CTRP and $trip adding $expe and $pcln to the mix soon.","twitter","adding $expe and $pcln to the mix soon;$;I already have $CTRP and $trip","709398139195641900"
"$NEIK","0.868","$NEIK ON HIGH ALERT!   96% Strong Buy #TEAMBILLIONAIRE https://t.co/yuTmcquvGg  $LEAS $EBIO $LQMT $FB #PENNYSTOCKS https://t.co/WXgnYvJZ0n","twitter","Strong Buy","709765435546185700"
"$TXRH","0.365","$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.","stocktwits","EPS were Up 19% from the same quarter last year","13286015"
"$BAC","0.332","Unusual Call Activity https://t.co/Cg7Yk4msrI $VXX $CLF $EEM $HYG $C $INTC $XOP $AA $VRX $GS $SBUX $JPM $MGM $USO $QQQ $BAC $CMG $CSCO $GOOG","twitter","Unusual Call Activity","710863854381563900"
"$CO","0.443","4-star analyst Scott Henry from Roth Capital reiterated a BUY on $CO. Scott has a +10.3% avg rtrn http://stks.co/d1IXT","stocktwits","4-star analyst Scott Henry from Roth Capital reiterated a BUY","29679970"
"$WYNN","0.394","$WYNN I'm going in tomorrow evening :-) $100 limit order","stocktwits","I'm going in tomorrow evening :-)","39048791"
"$FB","0.311","$TWTR is like the cream in an Oreo cookie!  $FB squeezing from one side, Snapchat from the other and no where to go for $TWTR but out!","twitter","$FB squeezing from one side;$;","719884758520606700"
"$AAPL","0.408",".@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1","twitter","sees #Apple at $150/share in a year (+36% from today)","719534350509948900"
"$TSLA","0.379","Tomorrow might be a rare buy $tsla day https://t.co/DMtGaTQY2S","twitter","Tomorrow might be a rare buy $tsla day","719725258480046100"
"$BMO","0.244","In play tmrw: $PBY (52m,12%,0.55) $BMO (638m,1.42,2cc) $TOL (146m,6.6%,0.72,2cc) + Watch $XHB Housing Sector. $LEAP (78m,16.7%,0.61)","stocktwits","In play tmrw","6003051"
"$SPY","0.490","$SPY In for 195 calls at .78","stocktwits","In for 195 calls at .78","27434594"
"$EEM","0.332","Unusual Call Activity https://t.co/Cg7Yk4msrI $VXX $CLF $EEM $HYG $C $INTC $XOP $AA $VRX $GS $SBUX $JPM $MGM $USO $QQQ $BAC $CMG $CSCO $GOOG","twitter","Unusual Call Activity","710863854381563900"
"$MSFT","0.289","$MSFT as said yesterday, those APR.22 CALLS were getting hot...today getting paid https://t.co/PgI6JWvv9B","twitter","CALLS were getting hot...today getting paid","710130452808536000"
"$PAY","0.093","$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.","stocktwits","Still not breaking out","13277173"
"$FXI","0.248","$CAT +5.10%, $RIO +4.54%, $FCX +3.53%, $FXI +2.93%, $BHP +3.04%, $YHOO +2.61%, $X +2.27%, $SLW +1.68%, $HAL +1.49%, $MCP +1.56% $NFLX +1.42%","stocktwits","$FXI +2.93%","5514207"
"$FB","0.078","Undaunted By String Of Failures, Facebook Is Trying To Get Into Payments http://stks.co/j0VqT $FB","stocktwits","Facebook Is Trying To Get Into Payments","22167633"
"$CSOD","0.322","$ECOM $BNFT $CSOD $CVT I am excited about all these plays","stocktwits","I am excited about all these plays","25330712"
"$FIO","0.587","RT EXPstocktrader: Do your homework on $AAPL co-founder new stock and get in on the ground floor of $FIO: http://stks.co/1gNe","stocktwits","get in on the ground floor of $FIO","6206304"
"$BIB","0.199","$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv","twitter","91 now support","711956003999211500"
"$AMZN","0.416","@OptionsAim great comeback by $AMZN a box developing between 550 to 582","twitter","reat comeback by $AMZN;$;great comeback by $AMZN","710849407844028400"
"$NXPI","0.560","$NXPI new high for 2016 https://t.co/bJi1MraK13","twitter","new high for 2016","719529978308603900"
"$AAPL","0.166","RT @ACInvestorBlog $AAPL still on track for $500","stocktwits","still on track for $500","6763560"
"$CAT","-0.500","$CAT Tested 82.50 4 count em 4 times this year if gaps down will probly open at 78.50 and get worse these puts were stupid cheap","stocktwits","if gaps down will probly open at ;$;and get worse these puts were stupid cheap","10103332"
"$RF","0.421","Unusual Call Activity https://t.co/WXu7JvqwBj $XLI $NXPI $WY $AMD $RF $MJN $WSM $AKS $GWPH $DG $MGM $SWKS $AAPL $ASHR $HTZ $ORCL $DDD $LVS","twitter","Unusual Call Activity","709777793798656000"
"$YHOO","0.352","Daily Mail may own Yahoo!! 😮 🤔https://t.co/c43QuZh9VK via @technology $YHOO","twitter","Daily Mail may own Yahoo!!","719513471289860100"
"$NFLX","0.414","The Three Top Stocks in 2015 are Ready to Lead Again in 2016 $AMZN $NFLX $ATVI details: https://t.co/dvUaPKznQX","twitter","Top Stocks in 2015 are Ready to Lead Again in 2016","710620435121971200"
"$HAL","-0.471","$HAL not getting in. oil is falling more. opec is insane. they want us shale to collapse","stocktwits","not getting in;$;oil is falling more","29712507"
"$APP","0.302","$APP competing bids to emerge, and will permit the Board to explore other value-enhancing alternatives, all with the objective of maximizing","stocktwits","competing bids to emerge, and will permit the Board to explore other value-enhancing alternatives, all with the objective of maximizing","24229806"
"$GTAT","0.364","$GTAT "" the resurgence in stock price today might mean that the company may emerge stronger than ever."" http://stks.co/f18i3","stocktwits","the resurgence in stock price today might mean that the company may emerge stronger than ever","27655637"
"$SBRY","0.346","Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets https://t.co/NDpOU7CSOX $TSCO $MRW $SBRY #stocks #UKstocks","twitter","Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets","719563779378438100"
